#assembly_accession,organism_name
GCA_002287175.1,Methanobacterium bryantii
GCA_000230485.1,uncultured marine crenarchaeote 'Gulf of Maine'
GCA_000504205.1,Methanolobus tindarius DSM 2278
GCA_000306725.1,Methanolobus psychrophilus R15
GCA_900100335.1,Natronorubrum texcoconense
GCA_900104065.1,Natronobacterium texcoconense
GCA_000234805.1,Pyrobaculum ferrireducens
GCA_000405745.1,Thaumarchaeota archaeon SCGC AB-179-E04
GCA_000404545.1,Diapherotrites archaeon SCGC AAA011-K09
GCA_000402355.1,Candidatus Iainarchaeum andersonii SCGC AAA011-E11
GCA_000402515.1,Nanoarchaeota archaeon SCGC AAA011-G17
GCA_000402735.1,Nanoarchaeota archaeon SCGC AAA011-K22
GCA_000402475.1,Nanoarchaeota archaeon SCGC AAA011-L15
GCA_000235565.1,Methanothrix harundinacea 6Ac
GCA_000337235.1,Natronorubrum tibetense GA33
GCA_937875805.1,uncultured Nitrosopumilaceae archaeon
GCA_000421805.1,Halorubrum ezzemoulense DSM 17463
GCA_003814835.1,Methanobrevibacter gottschalkii DSM 11977
GCA_000430905.1,Methanocorpusculum bavaricum DSM 4179
GCA_000711905.1,Methermicoccus shengliensis DSM 18856
GCA_000008265.1,Picrophilus oshimae DSM 9789
GCA_020567425.1,Salinirubrum litoreum
GCA_024464655.1,Halobellus inordinatus
GCA_024494595.1,Halobellus rarus
GCA_004765785.1,Halorussus ruber
GCA_024494685.1,Halorubrum rubrum
GCA_023077655.1,Halorientalis brevis
GCA_004143485.2,Halorussus amylolyticus
GCA_003336245.1,Haloplanus salinus
GCA_000404305.1,Candidatus Aenigmarchaeota archaeon JGI 0000106-F11
GCA_000405685.1,Candidatus Geocrenenecus sp. JGI 0000106-J15
GCA_000371945.1,crenarchaeote SCGC AAA261-C22
GCA_000375565.1,crenarchaeote SCGC AAA261-F05
GCA_000375605.1,crenarchaeote SCGC AAA261-G18
GCA_000372145.1,crenarchaeote SCGC AAA261-L14
GCA_000375665.1,crenarchaeote SCGC AAA261-L22
GCA_000376005.1,crenarchaeote SCGC AAA261-N13
GCA_000375685.1,crenarchaeote SCGC AAA261-N23
GCA_000375985.1,euryarchaeote SCGC AAA261-E04
GCA_000376025.1,euryarchaeote SCGC AAA261-G15
GCA_000245095.2,Sulfolobus islandicus M.16.2
GCA_000245115.2,Sulfolobus islandicus M.16.12
GCA_000245135.2,Sulfolobus islandicus M.16.13
GCA_000245155.2,Sulfolobus islandicus M.16.22
GCA_000245175.2,Sulfolobus islandicus M.16.23
GCA_000245195.2,Sulfolobus islandicus M.16.30
GCA_000245215.2,Sulfolobus islandicus M.16.40
GCA_000245235.2,Sulfolobus islandicus M.16.43
GCA_000245255.2,Sulfolobus islandicus M.16.46
GCA_000245275.2,Sulfolobus islandicus M.16.47
GCA_000259215.1,Halococcus hamelinensis 100A6
GCA_000513855.1,Desulfurococcus amylolyticus Z-533
GCA_000258515.1,Thermococcus zilligii AN1
GCA_000632495.1,Candidatus Acidianus copahuensis
GCA_000258425.1,Fervidicoccus fontis Kam940
GCA_000493245.1,Natrinema sp. J7-1
GCA_000513435.1,Halorubrum sp. AJ67
GCA_000308215.1,Methanomassiliicoccus luminyensis B10
GCA_000263735.1,Pyrococcus sp. ST04
GCA_000264495.1,Thermogladius calderae 1633
GCA_000275605.1,Pyrococcus furiosus COM1
GCA_900110865.1,Natrinema salaciae
GCA_014647455.2,Halarchaeum grantii
GCA_000296615.1,Halorubrum sp. T3
GCA_000349625.1,Thaumarchaeota archaeon SCGC AB-539-E09
GCA_000349645.1,Thermoplasmatales archaeon SCGC AB-539-N05
GCA_024170265.1,Methanocalculus sp. AMF5
GCA_026616195.1,Haloarchaeobius amylolyticus
GCA_024464185.1,Haloarchaeobius salinus
GCA_009831455.1,Salinirussus salinus
GCA_016065055.1,Halosimplex litoreum
GCA_001316065.1,Aeropyrum camini SY1 = JCM 12091
GCA_900774055.1,Methanococcoides sp. AM1
GCA_900774285.1,Methanococcoides sp. NM1
GCA_000304355.2,Methanoculleus bourgensis MS2
GCA_017874235.1,Halolamina salifodinae
GCA_000784335.1,Natrinema salifodinae
GCA_000302455.1,Methanobacterium formicicum DSM 3637
GCA_000283335.1,Halogranum salarium B-1
GCA_000320505.2,Methanobrevibacter boviskoreani JH1
GCA_000309865.1,Methanobacterium sp. Maddingley MBC34
GCA_000336615.1,Haloarcula amylolytica JCM 13557
GCA_000336635.1,Haloarcula japonica DSM 6131
GCA_000337895.1,Halobiforma nitratireducens JCM 10879
GCA_000336915.1,Halococcus saccharolyticus DSM 5350
GCA_000336935.1,Halococcus salifodinae DSM 8989
GCA_000336715.1,Halococcus thailandensis JCM 13552
GCA_000336735.1,Haloferax alexandrinus JCM 10717
GCA_000336775.1,Haloferax gibbonsii ATCC 33959
GCA_000336955.1,Haloferax larsenii JCM 13917
GCA_000336815.1,Haloferax prahovense DSM 18310
GCA_000336975.1,Haloferax sp. ATCC BAA-644
GCA_000336835.1,Haloferax sp. ATCC BAA-645
GCA_000336855.1,Haloferax sp. ATCC BAA-646
GCA_000336875.1,Halorubrum californiense DSM 19288
GCA_000337035.1,Halorubrum coriense DSM 10284
GCA_000337055.1,Halorubrum distributum JCM 9100
GCA_000337335.1,Halorubrum distributum JCM 10118
GCA_000337075.1,Halorubrum hochstenium ATCC 700873
GCA_000337375.1,Halorubrum lipolyticum DSM 21995
GCA_000337395.1,Halorubrum litoreum JCM 13561
GCA_000337915.1,Halorubrum saccharovorum DSM 1137
GCA_000337415.1,Halorubrum tebenquichense DSM 14210
GCA_000337435.1,Halorubrum terrestre JCM 10247
GCA_000337095.1,Halogeometricum pallidum JCM 14848
GCA_000337495.1,Haloterrigena salina JCM 13891
GCA_000337115.1,Natrinema thermotolerans DSM 11552
GCA_000337515.1,Halovivax asiaticus JCM 14624
GCA_000337535.1,Natrialba aegyptia DSM 13077
GCA_000337135.1,Natrialba chahannaoensis JCM 10990
GCA_000337575.1,Natrialba hulunbeirensis JCM 10989
GCA_000337155.1,Natrinema altunense JCM 12890
GCA_000337615.1,Natrinema pallidum DSM 3751
GCA_000337195.1,Natrinema versiforme JCM 10478
GCA_000337675.1,Natronococcus amylolyticus DSM 10524
GCA_000337695.1,Natronococcus jeotgali DSM 18795
GCA_000337215.1,Natronolimnohabitans innermongolicus JCM 12255
GCA_000337715.1,Natronorubrum bangense JCM 10635
GCA_001189275.1,Pyrobaculum sp. WP30
GCA_000299365.1,Candidatus Nitrosopumilus koreensis AR1
GCA_000299395.1,Candidatus Nitrosopumilus sediminis
GCA_000336895.1,Haloarcula argentinensis DSM 12282
GCA_000336795.1,Haloferax lucentense DSM 14919
GCA_000336755.1,Haloferax elongans ATCC BAA-1513
GCA_000336995.1,Halorubrum aidingense JCM 13560
GCA_000337015.1,Halorubrum arcis JCM 13916
GCA_000337355.1,Halorubrum kocurii JCM 14978
GCA_000337475.1,Natrinema limicola JCM 13563
GCA_000337595.1,Natrialba taiwanensis DSM 12281
GCA_000337175.1,Natrinema gari JCM 14663
GCA_000337735.1,Natronorubrum sulfidifaciens JCM 14089
GCA_000334895.1,Halococcus agarilyticus
GCA_944319735.1,uncultured Methanomassiliicoccus sp.
GCA_934702355.1,uncultured Methanomassiliicoccales archaeon
GCA_900100875.1,Halopelagius longus
GCA_000300255.2,Candidatus Methanomethylophilus alvus Mx1201
GCA_000341715.1,Methanosarcina mazei Tuc01
GCA_000303155.1,Candidatus Nitrososphaera gargensis Ga9.2
GCA_000415965.1,Haloquadratum walsbyi J07HQW1
GCA_000415985.1,Haloquadratum walsbyi J07HQW2
GCA_000416005.1,Haloquadratum sp. J07HQX50
GCA_000416025.1,Halonotius sp. J07HN6
GCA_000416045.1,Halorubrum sp. J07HR59
GCA_000364745.1,Sulfolobus islandicus LAL14/1
GCA_000364885.1,Thermoplasmatales archaeon SCGC AB-539-C06
GCA_000349685.1,Thermoplasmatales archaeon SCGC AB-540-F20
GCA_000400975.1,Halarchaeum acidiphilum MH1-52-1
GCA_000437835.1,Methanoculleus sp. CAG:1088
GCA_000437055.1,Methanobrevibacter smithii CAG:186
GCA_000755245.1,Halococcus sediminicola
GCA_900108505.1,Halopenitus malekzadehii
GCA_015661645.1,Pyrodictium delaneyi
GCA_003173335.1,Methanospirillum stamsii
GCA_001315825.1,Metallosphaera hakonensis JCM 8857 = DSM 7519
GCA_002214365.1,Thermococcus celer Vu 13 = JCM 8558
GCA_001315865.1,Methanosarcina mazei JCM 9314
GCA_001315885.1,Methanobrevibacter arboriphilus JCM 9315
GCA_001315925.1,Thermocladium modestius JCM 10088
GCA_001315945.1,Methanogenium cariaci JCM 10550
GCA_001315965.1,Methanoculleus chikugoensis JCM 10825
GCA_001315985.1,Vulcanisaeta distributa JCM 11216
GCA_001316005.1,Vulcanisaeta distributa JCM 11217
GCA_000455365.1,Halopiger djelfimassiliensis
GCA_000455345.1,Halopiger goleimassiliensis
GCA_014646555.1,Vulcanisaeta souniana JCM 11219
GCA_000949015.1,Acidiplasma sp. MBA-1
GCA_003086415.2,Candidatus Nanobsidianus stetteri
GCA_000389735.1,Sulfolobales archaeon Acd1
GCA_001316085.1,Sulfuracidifex tepidarius
GCA_000404225.1,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
GCA_001316105.1,Thermogymnomonas acidicola JCM 13583
GCA_001316125.1,Vulcanisaeta distributa JCM 11213
GCA_001316145.1,Vulcanisaeta distributa JCM 11215
GCA_001316165.1,Thermococcus sp. JCM 11816
GCA_001316185.1,Natronolimnobius baerhuensis JCM 12253 = CGMCC 1.3597
GCA_001316245.1,Vulcanisaeta sp. JCM 14467
GCA_001316265.1,Vulcanisaeta sp. JCM 16159
GCA_001316285.1,Vulcanisaeta sp. JCM 16161
GCA_001316225.1,Acidiplasma cupricumulans JCM 13668
GCA_000328285.1,Haloferax sp. BAB-2207
GCA_001316305.1,Methanosarcina barkeri JCM 10043
GCA_000484955.1,Euryarchaeota archaeum SCGC AAA287-N16
GCA_000484935.1,Euryarchaeota archaeum SCGC AAA287-E17
GCA_000484915.1,Euryarchaeota archaeon SCGC AAA286-E23
GCA_000484895.1,Euryarchaeota archaeum SCGC AAA287-I03
GCA_001316325.1,Methanobacterium formicicum JCM 10132
GCA_002072215.1,Methanobrevibacter arboriphilus JCM 13429 = DSM 1125
GCA_000739065.1,Methanocaldococcus bathoardescens
GCA_000402255.1,Nanoarchaeota archaeon SCGC AAA011-J2
GCA_000495475.1,Candidatus Halobonum tyrrellensis G22
GCA_000415945.1,halophilic archaeon J07HX5
GCA_000961135.2,Candidatus Aramenus sulfurataquae
GCA_000403645.1,Salinarchaeum sp. Harcht-Bsk1
GCA_029872365.1,Halobacterium rubrum
GCA_000725425.1,Palaeococcus pacificus DY20341
GCA_000734035.1,Archaeoglobus fulgidus DSM 8774
GCA_900773955.1,Methanococcoides vulcani
GCA_030518575.1,Candidatus Nitrosotenuis chungbukensis
GCA_000802205.2,Candidatus Nitrosocosmicus oleophilus
GCA_024494565.1,Halorubrum rutilum
GCA_004765815.2,Halorussus salinus
GCA_009176545.1,Salinigranum salinum
GCA_026586625.1,Halobium salinum
GCA_025231485.1,Salinirubellus salinus
GCA_900110215.1,Halorientalis persicus
GCA_000494145.1,Candidatus Calditenuaceae archaeon JGI OTU-1
GCA_024498335.1,Halobellus ramosii
GCA_000494185.1,Candidatus Calditenuaceae archaeon JGI OTU-3
GCA_000494125.1,Thaumarchaeota archaeon JGI OTU-4
GCA_000494105.1,Nanoarchaeota archaeon JGI OTU-1
GCA_000494085.1,Nanoarchaeota archaeon JGI OTU-2
GCA_000499765.1,Methanobacterium sp. MB1
GCA_000739555.1,Halolamina rubra
GCA_009690625.1,Halorhabdus sp. CBA1104
GCA_014647475.1,Halocalculus aciditolerans
GCA_002252925.1,Halorubrum sp. Ea8
GCA_002727095.1,Halorubrum sp. C191
GCA_002252895.1,Halorubrum sp. Eb13
GCA_002727125.1,Halorubrum persicum
GCA_002252745.1,Halorubrum sp. Ib24
GCA_002252985.1,Halorubrum halodurans
GCA_937871695.1,uncultured Methanoregulaceae archaeon
GCA_019912155.1,Candidatus Methanoperedens nitroreducens
GCA_000494165.1,Thaumarchaeota archaeon JGI OTU-2
GCA_000513315.1,Methanobrevibacter arboriphilus ANOR1
GCA_000740075.1,Nanohaloarchaea archaeon AB578-D14
GCA_905220655.1,Candidatus Nitrosotenuis uzonensis
GCA_900003565.1,Halobacterium hubeiense
GCA_000495675.1,uncultured Acidilobus sp. MG
GCA_000495695.1,uncultured Acidilobus sp. CIS
GCA_000495715.1,uncultured Acidilobus sp. OSP8
GCA_000495735.1,uncultured Acidilobus sp. JCHS
GCA_012928565.1,Candidatus Nitrosopelagicus brevis
GCA_000621965.1,Methanobrevibacter wolinii SH
GCA_000496175.1,uncultured archaeon A07HR67
GCA_000496195.1,uncultured archaeon A07HB70
GCA_000496215.1,uncultured archaeon A07HN63
GCA_000496235.1,uncultured archaeon A07HR60
GCA_000529525.1,Methanobrevibacter oralis JMR01
GCA_000494205.1,crenarchaeote JGI-OTU-1
GCA_000690595.2,Natrinema mahii
GCA_000504565.2,Haloarcula hispanica N601
GCA_023008585.1,Natribaculum breve
GCA_023008565.1,Natribaculum longum
GCA_001261915.1,Halorubrum sp. SD626R
GCA_014647235.1,Halomicroarcula pellucida
GCA_019061225.1,Haloarcula salina
GCA_019061235.1,Halomicroarcula limicola
GCA_017874375.1,Methanohalophilus levihalophilus
GCA_000816105.1,Thermococcus guaymasensis DSM 11113
GCA_024494655.1,Halorubrum laminariae
GCA_000969945.1,Methanosarcina sp. Kolksee
GCA_000970045.1,Methanosarcina sp. MTP4
GCA_000970005.1,Methanosarcina sp. WH1
GCA_000969965.1,Methanosarcina sp. WWM596
GCA_000970325.1,Methanococcoides methylutens MM1
GCA_000970065.1,Methanosarcina barkeri 227
GCA_000970305.1,Methanosarcina barkeri 3
GCA_000970025.1,Methanosarcina barkeri MS
GCA_000969985.1,Methanosarcina barkeri str. Wiesmoor
GCA_000970285.1,Methanosarcina horonobensis HB-1 = JCM 15518
GCA_000970265.1,Methanosarcina lacustris Z-7289
GCA_000970245.1,Methanosarcina mazei C16
GCA_000970225.1,Methanosarcina mazei LYC
GCA_000970185.1,Methanosarcina mazei SarPi
GCA_025035885.1,Methanosarcina mazei TMA
GCA_000970165.1,Methanosarcina mazei WWM610
GCA_000970145.1,Methanosarcina siciliae C2J
GCA_000970125.1,Methanosarcina siciliae HI350
GCA_000970085.1,Methanosarcina siciliae T4/M
GCA_000969925.1,Methanosarcina thermophila CHTI-55
GCA_027925105.1,Methanosarcina thermophila MST-A1
GCA_000969905.1,Methanosarcina vacuolata Z-761
GCA_000508305.1,Sulfolobus acidocaldarius SUSAZ
GCA_000739575.1,Halobellus rufus
GCA_001563305.1,methanogenic archaeon mixed culture ISO4-G1
GCA_023093535.1,Halovivax limisalsi
GCA_000710615.1,Haladaptatus cibarius D43
GCA_000710605.1,Natrinema thermotolerans A29
GCA_004799665.1,Halapricum salinum
GCA_000730285.1,Candidatus Nitrososphaera evergladensis SR1
GCA_013407145.1,Nitrosopumilus cobalaminigenes
GCA_013407185.1,Nitrosopumilus ureiphilus
GCA_001368915.1,Haloferax massiliensis
GCA_001282785.1,Halolamina sediminis
GCA_002252965.1,Halorubrum sp. Ea1
GCA_002252755.1,Halorubrum sp. Hd13
GCA_002727105.1,Halorubrum sp. C3
GCA_002252955.1,Halorubrum sp. E3
GCA_000979415.1,Methanosarcina sp. 2.H.T.1A.15
GCA_000979425.1,Methanosarcina sp. 2.H.T.1A.3
GCA_000979475.1,Methanosarcina sp. 2.H.T.1A.8
GCA_000979455.1,Methanosarcina sp. 2.H.T.1A.6
GCA_000979385.1,Methanosarcina sp. 2.H.A.1B.4
GCA_000979975.1,Methanosarcina sp. 1.H.A.2.2
GCA_000979295.1,Methanosarcina sp. 1.H.T.1A.1
GCA_024498195.1,Halovivax cerinus
GCA_000691505.2,Halostagnicola sp. A56
GCA_001560915.1,methanogenic archaeon ISO4-H5
GCA_000691865.1,Methanoculleus sp. MH98A
GCA_000744455.1,Methanobacterium sp. SMA-27
GCA_000746205.1,Halorubrum sp. BV1
GCA_900143675.1,Candidatus Nitrosotalea sinensis
GCA_938050305.1,uncultured Candidatus Nitrosoarchaeum sp.
GCA_000746785.1,Marine Group I thaumarchaeote SCGC AAA799-B03
GCA_000746695.1,Marine Group I thaumarchaeote SCGC AAA799-D07
GCA_000746765.1,Marine Group I thaumarchaeote SCGC AAA799-D11
GCA_000724145.1,Marine Group I thaumarchaeote SCGC AAA799-E16
GCA_000722915.1,Marine Group I thaumarchaeote SCGC AAA799-N04
GCA_000746705.1,Marine Group I thaumarchaeote SCGC AAA799-O18
GCA_000746685.1,Marine Group I thaumarchaeote SCGC AAA799-P11
GCA_000746745.1,Marine Group I thaumarchaeote SCGC RSA3
GCA_000769655.1,Thermococcus eurythermalis
GCA_938048785.1,uncultured Archaeoglobaceae archaeon
GCA_000730175.1,Haloferax sp. ATB1
GCA_026410925.1,Halovenus salina
GCA_001469955.1,Haloprofundus marisrubri
GCA_026616205.1,Halolamina litorea
GCA_024228675.1,Halobacteriaceae archaeon ZS-10
GCA_001482285.1,Haloferax sp. Q22
GCA_026586675.1,Halorubrum yunnanense
GCA_001321845.1,Nitrosopumilus sp. PRT-SC01
GCA_001896515.1,Candidatus Micrarchaeum sp. AZ1
GCA_013343295.1,Metallosphaera tengchongensis
GCA_009911715.1,Methanomassiliicoccaceae archaeon DOK
GCA_005435195.1,Halorubrum sp. SP3
GCA_005435015.1,Halorubrum sp. SP9
GCA_000986845.1,Candidatus Lokiarchaeum sp. GC14_75
GCA_013133895.1,Acidianus sp. RZ1
GCA_001469865.1,Haloferax profundi
GCA_001469875.2,Haloferax marisrubri
GCA_003675855.1,Halostella salina
GCA_003342675.1,Haloplanus rubicundus
GCA_023255915.1,Infirmifilum uzonense
GCA_004102725.1,Methanoculleus taiwanensis
GCA_001017125.1,Methanoculleus sediminis
GCA_022869805.1,Halosolutus halophilus
GCA_001729965.1,Methanosphaera sp. WGK6
GCA_001552015.1,Candidatus Nanopusillus acidilobi
GCA_003431325.1,Acidilobus sp. 7A
GCA_000800805.1,Candidatus Methanoplasma termitum
GCA_000806055.1,archaeon GW2011_AR1
GCA_000806075.1,archaeon GW2011_AR3
GCA_000806095.1,archaeon GW2011_AR4
GCA_000806115.1,archaeon GW2011_AR5
GCA_000805915.1,archaeon GW2011_AR6
GCA_000805935.1,archaeon GW2011_AR9
GCA_000830275.1,archaeon GW2011_AR10
GCA_000806135.1,archaeon GW2011_AR11
GCA_000805965.1,archaeon GW2011_AR13
GCA_000830295.1,archaeon GW2011_AR15
GCA_000805925.1,archaeon GW2011_AR16
GCA_000805995.1,archaeon GW2011_AR17
GCA_000806155.1,archaeon GW2011_AR18
GCA_000806015.1,archaeon GW2011_AR19
GCA_000830315.1,archaeon GW2011_AR20
GCA_000806035.1,archaeon GW2011_AR21
GCA_000956175.1,Nitrosopumilus adriaticus
GCA_000875775.1,Nitrosopumilus piranensis
GCA_023008545.1,Natribaculum luteum
GCA_020217425.1,Halomicrobium urmianum
GCA_001317345.1,Thermococcus sp. EP1
GCA_000827835.1,Haloarcula sp. CBA1115
GCA_026768455.1,Candidatus Nitrosotenuis cloacae
GCA_001305655.1,Halanaeroarchaeum sulfurireducens
GCA_002572525.1,Natrinema sp. CBA1119
GCA_000960865.1,Vulcanisaeta sp. AZ3
GCA_000960885.1,Thermoproteus sp. AZ2
GCA_001577775.1,Pyrococcus kukulkanii
GCA_001548675.1,Methanobrevibacter sp. YE315
GCA_017874455.1,Methanobacterium aggregans
GCA_946478655.1,uncultured Candidatus Nitrosotalea sp.
GCA_001647155.1,Haloarcula sp. K1
GCA_001507935.1,Thermococcales archaeon 44_46
GCA_001507955.1,Methanobacteriaceae archaeon 41_258
GCA_001507975.1,Euryarchaeota archaeon 55_53
GCA_001508185.1,Methanosarcinales archeaon 56_1174
GCA_012027645.1,Thermococcus sp. 18S1
GCA_012027615.1,Thermococcus sp. 21S7
GCA_012027635.1,Thermococcus sp. 21S9
GCA_012027595.1,Thermococcus sp. Bubb.Bath
GCA_012027515.1,Thermococcus sp. ES12
GCA_012027545.1,Thermococcus sp. GR4
GCA_012027535.1,Thermococcus sp. GR5
GCA_012027415.1,Thermococcus sp. GR6
GCA_012027455.1,Thermococcus sp. GR7
GCA_012027495.1,Thermococcus sp. JdF3
GCA_012027395.1,Thermococcus sp. LS1
GCA_012027375.1,Thermococcus sp. LS2
GCA_012027355.1,Thermococcus sp. M36
GCA_012027325.1,Thermococcus sp. M39
GCA_012027305.1,Thermococcus sp. MAR1
GCA_012027285.1,Thermococcus sp. MV11
GCA_012027425.1,Thermococcus sp. MV5
GCA_001443365.1,Thaumarchaeota archaeon CSP1-1
GCA_001508175.1,Thermococcus sp. 40_45
GCA_001508455.1,Methanocalculus sp. 52_23
GCA_001509005.1,Methanobacterium sp. 42_16
GCA_001508695.1,Methanomicrobiales archaeon 53_19
GCA_001508715.1,Thermoplasmatales archaeon 49_6
GCA_001663375.1,Caldivirga sp. MU80
GCA_002077075.2,Thermoproteus sp. CP80
GCA_002078205.2,Vulcanisaeta sp. EB80
GCA_001402855.1,Methanosarcina sp. 795
GCA_001438895.1,Nitrosopumilus sp. BACL13 MAG-120910-bin56
GCA_001437625.1,Nitrosopumilus sp. BACL13 MAG-121220-bin23
GCA_001510225.1,Thaumarchaeota archaeon casp-thauma1
GCA_001510255.1,Thaumarchaeota archaeon casp-thauma2
GCA_001510275.1,Thaumarchaeota archaeon casp-thauma3
GCA_001510295.1,Thaumarchaeota archaeon casp-thauma4
GCA_014648235.1,Sulfodiicoccus acidiphilus
GCA_012521495.1,Candidatus Methanoculleus thermohydrogenotrophicum
GCA_001512385.1,Methanoculleus sp. DTU007
GCA_001512365.1,Methanosarcina sp. DTU009
GCA_001543015.1,Nitrosopumilus sp. LS_AOA
GCA_027366925.1,Cuniculiplasma divulgatum
GCA_001602645.1,Methanosarcinales archaeon Methan_01
GCA_001603195.1,Methanosarcinales archaeon Methan_02
GCA_001603205.1,Methanosarcinales archaeon Methan_03
GCA_001603225.1,Methanosarcinales archaeon Methan_04
GCA_001602685.1,Methanomicrobiales archaeon Methan_05
GCA_001602695.1,Methanomicrobiales archaeon Methan_06
GCA_001603255.1,Methanomicrobiales archaeon Methan_07
GCA_902813195.1,Thermococcus sp. 2319x1
GCA_001512965.1,Methanomicrobia archaeon DTU008
GCA_001462205.1,Haloparvum sedimenti
GCA_025629245.1,Natronobiforma cellulositropha
GCA_003841505.1,Natrarchaeobius chitinivorans
GCA_003841485.1,Natrarchaeobius halalkaliphilus
GCA_011043775.1,Natronolimnobius sp. AArcel1
GCA_003058365.1,Halococcoides cellulosivorans
GCA_001674955.1,Candidatus Nitrosopumilus sp. DDS1
GCA_001625445.1,Haladaptatus sp. R4
GCA_001273345.1,miscellaneous Crenarchaeota group-1 archaeon SG8-32-1
GCA_001273335.1,miscellaneous Crenarchaeota group-1 archaeon SG8-32-3
GCA_001273385.1,miscellaneous Crenarchaeota group-6 archaeon AD8-1
GCA_001273415.1,miscellaneous Crenarchaeota group-15 archaeon DG-45
GCA_001273375.1,miscellaneous Crenarchaeota group archaeon SMTZ1-55
GCA_001273495.1,miscellaneous Crenarchaeota group archaeon SMTZ-80
GCA_001549395.1,candidate division MSBL1 archaeon SCGC-AAA833F18
GCA_001549365.1,candidate division MSBL1 archaeon SCGC-AAA833K04
GCA_001548885.1,candidate division MSBL1 archaeon SCGC-AAA259A05
GCA_001549035.1,candidate division MSBL1 archaeon SCGC-AAA259B11
GCA_001548915.1,candidate division MSBL1 archaeon SCGC-AAA259D14
GCA_001549075.1,candidate division MSBL1 archaeon SCGC-AAA259D18
GCA_001548935.1,candidate division MSBL1 archaeon SCGC-AAA259E17
GCA_001549095.1,candidate division MSBL1 archaeon SCGC-AAA259E19
GCA_001548955.1,candidate division MSBL1 archaeon SCGC-AAA259E22
GCA_001548965.1,candidate division MSBL1 archaeon SCGC-AAA259I07
GCA_001548995.1,candidate division MSBL1 archaeon SCGC-AAA259I09
GCA_001549015.1,candidate division MSBL1 archaeon SCGC-AAA259I14
GCA_001549045.1,candidate division MSBL1 archaeon SCGC-AAA259J03
GCA_001549115.1,candidate division MSBL1 archaeon SCGC-AAA259M10
GCA_001549135.1,candidate division MSBL1 archaeon SCGC-AAA259O05
GCA_001549125.1,candidate division MSBL1 archaeon SCGC-AAA261C02
GCA_001549175.1,candidate division MSBL1 archaeon SCGC-AAA261D19
GCA_001549195.1,candidate division MSBL1 archaeon SCGC-AAA261F17
GCA_001549215.1,candidate division MSBL1 archaeon SCGC-AAA261F19
GCA_001549415.1,candidate division MSBL1 archaeon SCGC-AAA261G05
GCA_001549225.1,candidate division MSBL1 archaeon SCGC-AAA261O19
GCA_001549255.1,candidate division MSBL1 archaeon SCGC-AAA382A03
GCA_001549435.1,candidate division MSBL1 archaeon SCGC-AAA382A13
GCA_001549275.1,candidate division MSBL1 archaeon SCGC-AAA382A20
GCA_001549445.1,candidate division MSBL1 archaeon SCGC-AAA382C18
GCA_001549285.1,candidate division MSBL1 archaeon SCGC-AAA382F02
GCA_001549315.1,candidate division MSBL1 archaeon SCGC-AAA382K21
GCA_001549475.1,candidate division MSBL1 archaeon SCGC-AAA382M17
GCA_001549325.1,candidate division MSBL1 archaeon SCGC-AAA382N08
GCA_001549495.1,candidate division MSBL1 archaeon SCGC-AAA385D11
GCA_001549515.1,candidate division MSBL1 archaeon SCGC-AAA385M02
GCA_001549355.1,candidate division MSBL1 archaeon SCGC-AAA385M11
GCA_013402815.2,Natrinema halophilum
GCA_001399805.1,Candidatus Bathyarchaeota archaeon BA1
GCA_001399795.1,Candidatus Bathyarchaeota archaeon BA2
GCA_020886315.1,Saccharolobus caldissimus
GCA_024227995.1,Halobacteriaceae archaeon GSLN9
GCA_003670115.1,Natronorubrum halophilum
GCA_001280425.1,Haloarcula rubripromontorii
GCA_001587635.1,Candidatus Methanofastidiosum methylthiophilus
GCA_001563465.1,Candidatus Thorarchaeota archaeon SMTZ-45
GCA_001563335.1,Candidatus Thorarchaeota archaeon SMTZ1-45
GCA_001563325.1,Candidatus Thorarchaeota archaeon SMTZ1-83
GCA_003382685.1,Halorussus litoreus
GCA_004765805.1,Halorussus halobius
GCA_003730195.1,Halosimplex salinum
GCA_013456555.2,Natrinema zhouii
GCA_013391105.1,Natronomonas salina
GCA_009789175.1,Salinibaculum litoreum
GCA_001647085.1,Thermococcus piezophilus
GCA_001421185.1,Methanomassiliicoccales archaeon RumEn M1
GCA_001421175.1,Methanomassiliicoccales archaeon RumEn M2
GCA_001516765.1,Vulcanisaeta sp. MG_3
GCA_001516745.1,Vulcanisaeta sp. CIS_19
GCA_001515905.1,Vulcanisaeta sp. OSP_8
GCA_001516705.1,Vulcanisaeta sp. JCHS_4
GCA_001515815.1,Caldivirga sp. JCHS_4
GCA_001515805.1,Caldivirga sp. CIS_19
GCA_001516725.1,Caldivirga sp. MG_3
GCA_001516665.1,Thermoproteus sp. CIS_19
GCA_001516655.1,Thermoproteus sp. JCHS_4
GCA_001515825.1,Pyrobaculum sp. OCT_11
GCA_001515835.1,Pyrobaculum sp. JCHS_4
GCA_001516585.1,Thermocladium sp. ECH_B
GCA_001304615.2,Methanosarcina flavescens
GCA_001317315.1,Candidatus Methanoperedens sp. BLZ1
GCA_001564175.1,Haloferacaceae archaeon PL-Br10_E2g46
GCA_001563965.1,Haloferacaceae archaeon PL-Br10_E2g29
GCA_001564005.1,Halorubrum sp. PL-Br10_E2g5
GCA_001564205.1,Nanohaloarchaea archaeon PL-Br10_U2g5
GCA_001564195.1,Nanohaloarchaea archaeon PL-Br10_U2g19
